Timestamp,AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp,date_not_time
2024-11-19 02:32:15+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.059200,2024-11-19 02:32:15+00:00,2024-11-19
2024-11-19 04:16:13+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.059200,2024-11-19 04:16:13+00:00,2024-11-19
2024-11-19 10:32:28+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.058700,2024-11-19 10:32:28+00:00,2024-11-19
2024-11-19 15:33:31+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.058600,2024-11-19 15:33:31+00:00,2024-11-19
2024-11-19 20:17:30+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.058500,2024-11-19 20:17:30+00:00,2024-11-19
2024-11-20 21:22:51+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.057900,2024-11-20 21:22:51+00:00,2024-11-20
2024-11-20 18:32:57+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.057900,2024-11-20 18:32:57+00:00,2024-11-20
2024-11-20 14:17:46+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.058100,2024-11-20 14:17:46+00:00,2024-11-20
2024-11-20 08:18:43+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.058000,2024-11-20 08:18:43+00:00,2024-11-20
2024-11-21 08:18:54+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.058200,2024-11-21 08:18:54+00:00,2024-11-21
2024-11-21 14:17:42+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.057800,2024-11-21 14:17:42+00:00,2024-11-21
2024-11-21 21:18:48+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.057600,2024-11-21 21:18:48+00:00,2024-11-21
2024-11-22 05:03:58+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.057300,2024-11-22 05:03:58+00:00,2024-11-22
2024-11-22 12:33:40+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.056800,2024-11-22 12:33:40+00:00,2024-11-22
2024-11-22 18:17:42+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.056300,2024-11-22 18:17:42+00:00,2024-11-22
2024-11-23 18:47:48+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.055200,2024-11-23 18:47:48+00:00,2024-11-23
2024-11-23 14:32:37+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.055400,2024-11-23 14:32:37+00:00,2024-11-23
2024-11-23 05:47:35+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.055600,2024-11-23 05:47:35+00:00,2024-11-23
2024-11-23 02:32:34+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.056000,2024-11-23 02:32:34+00:00,2024-11-23
2024-11-24 03:18:39+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.054900,2024-11-24 03:18:39+00:00,2024-11-24
2024-11-24 07:18:40+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.055100,2024-11-24 07:18:40+00:00,2024-11-24
2024-11-24 15:02:22+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.054700,2024-11-24 15:02:22+00:00,2024-11-24
2024-11-24 23:17:29+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.054400,2024-11-24 23:17:29+00:00,2024-11-24
2024-11-25 20:32:42+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.054000,2024-11-25 20:32:42+00:00,2024-11-25
